26.8	22.1	6.3	4.5	3.1	1.3	2.8	2.1	13.6	10.8	3	4	2.6	4.1	14.8	11.9	5.1	3.2	7.8	3	4.6	3.8	0.284
27.8	22.7	6.5	4.8	3.5	1.7	3.1	2.2	14.5	11.7	3.1	5	2.7	4.3	15.1	12.7	5.3	3.2	7.8	3	4.4	4.3	0.33
28.9	25	7	4.6	3.5	1.5	3.3	2.3	14.7	11.7	2.7	5	2.5	4.1	17.9	15.1	6.3	3.3	10.9	4	4.1	4.3	0.462
29.7	25	7.3	5.3	3.8	1.8	3.5	2.4	14.2	12.1	3.3	5	2.6	4.6	18	15.5	6.1	3.4	10.2	3	4.8	4.3	0.475
34	28.2	8.1	5.6	4.1	2.3	3.6	2.3	16	13.1	3.8	5	2.9	5.1	20.5	17.3	6.8	4.4	10.1	4	5.1	4.5	0.67
30.5	25.5	7.6	5.5	3.5	1.6	3.3	2.3	14.9	11.8	3.2	4	2.5	4.2	18.6	15.6	6.4	3.8	10.9	3	4.8	4.3	0.536
26.6	22	7	4.4	3.2	1.6	2.8	2	13.5	10.7	2.6	4	2.4	3.7	15.6	13.6	5.2	3.4	8.2	3	4.2	3.8	0.337
31.1	26.1	7.5	5.4	3.4	1.7	3.3	2.1	16.2	12.4	2.9	5	2.7	4.8	19	16.1	7.2	3.6	10.9	4	5	4.3	0.622
24.3	20.6	5.8	4.2	2.8	1.3	2.7	2	12	10.3	2.2	4	1.8	3.2	13.7	11.3	4.6	2.7	7.2	2	3.5	3.6	0.233
27	22	6.2	4.6	3	1.6	2.9	2.2	13.8	11.1	2.7	4	2.6	4.1	15.1	12.7	5.2	3.1	7.7	3	4.5	3.8	0.307
26.3	21.7	6.3	4.4	3.1	1.5	2.9	2.2	13	11.1	2.7	4	2.3	3.8	13.8	11.9	5.2	3	7.5	2	4.5	3.7	0.269
25.2	21.1	6.1	4.4	3.1	1.5	2.6	2.1	12.7	10.5	2.5	4	2.1	3.8	14.3	12.1	4.6	3.3	7.9	2	4.5	3.5	0.253
41	34	9.8	7	4.1	2.3	4.6	2.9	20.5	16.2	4.1	6	3.5	6	24	19.8	8.3	4.8	13.1	5	6.2	5.3	1.072
27.7	23.2	7	4.4	3.2	1.7	3	2.1	13.8	10.6	2.5	4	2.5	4.1	16.9	14.5	4.6	3.2	9.1	3	4.3	3.8	0.365
29	24.2	7.6	4.8	3.7	1.8	2.8	2.2	14.8	11.8	2.9	4	2.1	4.1	17.1	14.8	5.3	3.5	9.5	3	4.4	3.8	0.473
25.1	21.3	6.1	4	3.1	1.5	2.8	2.1	12.2	10.1	2.4	4	2.1	3.5	15.7	13.5	5.3	3.1	8.8	3	4	3.3	0.293
24.1	20.7	6	4	3	1.5	2.6	2.1	11.8	10.1	2.3	4	2	3.5	14.6	12.4	4.6	3.2	7.7	2	4.1	3.4	0.273
23.7	19.7	5.5	3.5	2.8	1.6	2.6	1.9	11.8	9.4	2.3	4	2.2	3.7	14.2	11.4	4.5	2.8	8	2	4.1	3.4	0.199
27.9	23	6.4	4.7	3.3	1.7	3.1	2.4	13.8	11.5	2.9	4	2.6	3.6	15.9	13.3	5.5	3.1	9.2	3	4.5	3.8	0.372
30.6	25.1	7.2	5.4	3.5	1.8	3.3	2.5	14.7	12.2	3.2	5	2.6	4.7	18.5	15.7	6.1	3.6	10.2	4	5	4.4	0.479
23.1	19.8	5.8	3.8	2.8	1.4	2.4	2	11.5	9.1	2.6	4	2.2	3.2	14.1	11.8	4.7	2.6	7.8	3	3.4	3.4	0.22
25.6	21.2	5.8	4.3	2.9	1.7	2.8	2.1	13	10.8	2.3	4	2.3	3.7	14.8	12.1	5.2	2.9	8	3	3.6	3.5	0.261
21.6	17.7	5.4	3.6	3	1.4	2.5	1.9	11	9.3	2.4	3	2	3.3	12	9.8	4.3	2.2	6.1	2	3.5	3.3	0.19
24.6	20.2	6.1	4.5	2.9	1.3	2.8	2.1	13.3	9.4	3	4	2.4	3.7	14.6	12.1	4.8	2.8	7.9	2	4.3	3.3	0.268
22.1	18.1	5.8	3.6	2.6	1.4	2.5	2.1	10.8	8.9	2.3	4	2.4	3.4	13.5	11.4	4	2.6	6.4	2	3.7	3.1	0.197
28.2	23.8	7.1	5.1	3.3	1.8	3.6	2.5	14.2	11.4	3.8	5	2.9	5.1	15.4	12.7	6	3.6	8	3	4.8	4.1	0.381
26	21.5	6.5	4.4	3.4	1.7	2.8	2.2	13.5	10.7	3	4	2.7	4.3	14.7	11.7	5.5	3.2	7.7	3	4.8	3.8	0.277
28	22.8	7.2	4.9	3.3	1.8	3.1	2.4	12.6	11.7	3.6	5	2.9	5	16.3	13.7	4.9	3.4	8.4	3	4.4	3.8	0.362
24.5	20.7	5.9	4.5	3.1	1.5	2.8	2.2	12.6	10.2	2.8	4	2.3	4	13.5	10.7	5	3.1	6.6	3	3.6	3.5	0.23
24	19.5	5.7	4.2	2.8	1.3	2.6	2	11.5	10	2.5	4	2.4	4	13.1	11	4.7	2.9	6.9	3	3.5	3.1	0.221
25.8	21.4	6.7	4.6	3.2	1.6	2.9	2.3	13.1	10.1	2.6	4	2.2	4.1	14.1	11.7	5.3	3.3	7.3	3	4.1	3.8	0.293
23.5	19.3	5.4	4.1	3.1	1.6	2.6	1.9	11.3	9.5	2.5	4	2.4	3.7	13.6	11.6	4.7	2.9	7.1	3	3.9	3.4	0.225
28.4	23.4	6.7	4.9	3.4	1.7	2.8	2.2	14.1	11.6	3.1	5	2.8	4.5	16.1	13.8	5.8	3.3	8.8	3	4.2	4	0.392
24.6	19.7	5.8	4.4	2.8	1.6	2.6	2	11.7	10.3	2.2	4	2	3.7	13.7	11.5	4.5	2.8	7.1	2	4.3	3.6	0.243
22.2	18.5	5.5	3.8	2.9	1.5	2.4	2	11.4	9	2.2	3	2.1	3.5	12.1	10	4.4	2.6	6.3	2	3.8	3.3	0.17
28	22.6	6.7	4.3	3.2	1.7	3	2.2	13.6	12	2.9	5	2.5	4.5	15	12.4	5.4	3.4	7.4	3	5.5	3.9	0.322
24.7	20.7	6	4.1	3	1.4	2.6	2.2	12.2	9.8	2.3	4	2	3.8	12.9	11	4.8	3	6.6	2	4.5	3.6	0.234
25.1	20.5	6.3	4.2	2.8	1.4	2.6	2.1	12.4	9.9	3.1	4	2.4	3.9	13.8	11.7	4.8	2.9	7	2	3.8	3.5	0.248
21.6	17.7	4.9	3.7	2.5	1.2	2.1	1.8	10.5	9.2	2.4	3	2.1	3.3	11.4	9.9	4.2	2.8	5.9	2	3.6	3	0.148
24.3	20.1	6	4.4	3	1.5	2.6	2	11.9	9.5	2.5	4	2.4	3.8	13.5	11	4.9	3.1	6.7	2	4.2	3.6	0.226
